Year,Town,"TANF cases, Rate (per 1000)","TANF cases, Number","Total estimated households, Number","Food stamps cases, Rate (per 1000)","Food stamps cases, Number","Total estimated households, Number"
1998,Ridgefield,1.42,12,8433,4.15,35,8433
1998,Rocky Hill,5.95,45,7557,13.1,99,7557
1998,Roxbury,1.18,1,848,3.54,3,848
1998,Salem,8.1,11,1358,12.52,17,1358
1998,Salisbury,4.03,7,1737,8.64,15,1737
1998,Scotland,5.42,3,553,9.04,5,553
1998,Seymour,17.22,106,6155,34.44,212,6155
1998,Sharon,4.82,6,1246,10.43,13,1246
1998,Shelton,9.44,134,14190,18.39,261,14190
1998,Sherman,3.49,5,1434,4.88,7,1434
1998,Simsbury,2.23,19,8527,4.81,41,8527
1998,Somers,7.52,22,2925,14.02,41,2925
1998,South Windsor,5.39,48,8905,9.99,89,8905
1998,Southbury,2.63,19,7225,4.01,29,7225
1998,Southington,11.34,171,15083,22.54,340,15083
1998,Sprague,20.7,23,1111,39.6,44,1111
1998,Stafford,22.51,98,4353,39.28,171,4353
1998,Stamford,27.62,1254,45399,50.35,2286,45399
1998,Sterling,17.92,20,1116,31.36,35,1116
1998,Stonington,12.39,95,7665,28.44,218,7665
1998,Stratford,19.7,392,19898,30.56,608,19898
1998,Suffield,4.94,23,4660,10.94,51,4660
1998,Thomaston,10.29,30,2916,21.95,64,2916
1998,Thompson,15.8,55,3482,35.04,122,3482
1998,Tolland,3.92,18,4586,6.76,31,4586
1998,Torrington,18.99,280,14743,45.38,669,14743
1998,Trumbull,4.45,53,11911,9.32,111,11911
1998,Union,3.51,1,285,10.53,3,285
1998,Vernon,27.14,333,12269,47.44,582,12269
1998,Voluntown,12.61,12,952,30.46,29,952
1998,Wallingford,13,217,16697,25.39,424,16697
1998,Warren,2.01,1,497,4.02,2,497
1998,Washington,7.77,11,1416,12.01,17,1416
1998,Waterbury,83.34,3552,42622,152.5,6500,42622
1998,Waterford,8.22,62,7542,14.85,112,7542
1998,Watertown,9.45,76,8046,18.39,148,8046
1998,West Hartford,15.38,378,24576,38.17,938,24576
1998,West Haven,55.1,1162,21090,95.16,2007,21090
1998,Westbrook,8.83,23,2605,32.25,84,2605
1998,Weston,1.51,5,3312,2.11,7,3312
1998,Westport,2.71,26,9586,7.3,70,9586
1998,Wethersfield,9.01,101,11214,24.7,277,11214
1998,Willington,7.65,18,2353,13.17,31,2353
1998,Wilton,1.18,7,5923,1.69,10,5923
1998,Winchester,25.17,110,4371,55.82,244,4371
1998,Windham,76.12,635,8342,157.4,1313,8342
1998,Windsor,22.79,241,10577,37.44,396,10577
1998,Windsor Locks,15.2,75,4935,25.73,127,4935
1998,Wolcott,9.6,52,5414,16.44,89,5414
1998,Woodbridge,4.19,13,3103,9.02,28,3103
1998,Woodbury,2.96,11,3715,5.92,22,3715
1998,Woodstock,7.26,20,2754,11.98,33,2754
1999,Andover,4.35,5,1150,8.7,10,1150
1999,Ansonia,34.9,262,7507,80.99,608,7507
1999,Ashford,9.51,15,1578,19.01,30,1578
1999,Avon,0.32,2,6192,2.91,18,6192
1999,Barkhamsted,3.75,5,1334,3.75,5,1334
1999,Beacon Falls,6.89,14,2032,16.24,33,2032
1999,Berlin,3.98,27,6792,10.75,73,6792
1999,Bethany,3.42,6,1755,7.41,13,1755
1999,Bethel,4.92,32,6505,13.68,89,6505
1999,Bethlehem,2.41,3,1246,3.21,4,1246
1999,Bloomfield,23.79,188,7902,42.14,333,7902
1999,Bolton,3.15,6,1906,6.82,13,1906
1999,Bozrah,5.66,5,883,18.12,16,883
1999,Branford,6.94,87,12543,23.68,297,12543
1999,Bridgeport,84.76,4264,50307,182.68,9190,50307
1999,Bridgewater,1.42,1,703,2.84,2,703
1999,Bristol,18.56,462,24886,52.64,1310,24886
1999,Brookfield,2.15,12,5572,6.28,35,5572
1999,Brooklyn,7.51,19,2531,22.13,56,2531
1999,Burlington,1.76,5,2840,5.28,15,2840
1999,Canaan,8.99,4,445,33.71,15,445
1999,Canterbury,9.9,17,1717,25.63,44,1717
1999,Canton,1.99,7,3516,6.83,24,3516
1999,Chaplin,6.99,6,858,15.15,13,858
1999,Cheshire,2.25,21,9349,7.17,67,9349
1999,Chester,4.64,7,1510,16.56,25,1510
1999,Clinton,7.21,37,5134,23.57,121,5134
1999,Colchester,7.46,39,5225,23.92,125,5225
1999,Colebrook,0,0,566,0,0,566
1999,Columbia,2.68,5,1864,6.97,13,1864
1999,Connecticut,26.66,34706,1301670,65.68,85493,1301670
1999,Cornwall,1.63,1,615,9.76,6,615
1999,Coventry,6.81,29,4261,17.84,76,4261
1999,Cromwell,5.37,28,5212,14.77,77,5212
1999,Danbury,16.7,454,27183,48.23,1311,27183
1999,Darien,0.76,5,6592,3.64,24,6592
1999,Deep River,6.58,12,1824,20.29,37,1824
1999,Derby,26.09,137,5252,60.55,318,5252
1999,Durham,3.95,9,2277,6.59,15,2277
1999,East Granby,4.33,8,1848,12.99,24,1848
1999,East Haddam,5.67,18,3174,14.18,45,3174
1999,East Hampton,5.33,22,4126,15.75,65,4126
1999,East Hartford,41.23,833,20206,93.19,1883,20206
1999,East Haven,21.66,243,11219,55.17,619,11219
1999,East Lyme,5.07,32,6308,13.47,85,6308
1999,East Windsor,10.3,42,4078,29.18,119,4078
1999,Eastford,4.85,3,618,17.8,11,618
1999,Easton,0,0,2465,1.62,4,2465
1999,Ellington,3.85,20,5195,12.51,65,5195
1999,Enfield,14.62,240,16418,28.87,474,16418
1999,Essex,2.49,7,2811,8.18,23,2811
1999,Fairfield,3.19,65,20397,9.36,191,20397
1999,Farmington,3.58,34,9496,16.64,158,9496
1999,Franklin,5.82,4,687,7.28,5,687
1999,Glastonbury,3.51,43,12257,12.07,148,12257
1999,Goshen,1.88,2,1066,11.26,12,1066
1999,Granby,1.85,7,3781,8.46,32,3781
1999,Greenwich,2.71,63,23230,9.81,228,23230
1999,Griswold,15.98,67,4194,42.92,180,4194
1999,Groton,18.61,288,15473,41.17,637,15473
1999,Guilford,3.31,27,8151,11.53,94,8151
1999,Haddam,5.18,14,2701,10.74,29,2701
1999,Hamden,17.67,396,22408,39.05,875,22408
1999,Hampton,5.93,4,674,8.9,6,674
1999,Hartford,146,6568,44986,367.27,16522,44986
1999,Hartland,2.83,2,707,2.83,2,707
1999,Harwinton,4.6,9,1958,7.15,14,1958
1999,Hebron,2.67,8,2993,8.69,26,2993
1999,Kent,0.87,1,1143,10.5,12,1143
1999,Killingly,32.55,207,6359,90.11,573,6359
1999,Killingworth,2.28,5,2196,5.46,12,2196
1999,Lebanon,6.95,17,2446,15.94,39,2446
1999,Ledyard,6.62,35,5286,14.57,77,5286
1999,Lisbon,9.18,14,1525,20.33,31,1525
1999,Litchfield,3.32,11,3310,12.99,43,3310
1999,Lyme,0,0,854,2.34,2,854
1999,Madison,2,13,6515,7.83,51,6515
1999,Manchester,20.65,479,23197,51.34,1191,23197
1999,Mansfield,5.48,29,5291,26.08,138,5291
1999,Marlborough,2.99,6,2005,9.98,20,2005
1999,Meriden,44.18,1014,22951,114.64,2631,22951
1999,Middlebury,4.17,10,2398,9.59,23,2398
1999,Middlefield,2.43,4,1645,11.55,19,1645
1999,Middletown,19.94,370,18554,60.2,1117,18554
1999,Milford,10.1,211,20900,27.13,567,20900
1999,Monroe,3.09,20,6481,6.33,41,6481
1999,Montville,10.74,69,6426,22.56,145,6426
1999,Morris,3.29,3,912,10.96,10,912
1999,Naugatuck,18.26,216,11829,44.13,522,11829
1999,New Britain,64.75,1849,28558,148.43,4239,28558
1999,New Canaan,0.73,5,6822,3.81,26,6822
1999,New Fairfield,3.67,17,4638,6.9,32,4638
1999,New Hartford,2.24,5,2228,8.98,20,2228
1999,New Haven,107.32,5054,47094,249.37,11744,47094
1999,New London,60.01,611,10181,149.4,1521,10181
1999,New Milford,8.98,90,10018,22.26,223,10018
1999,Newington,5.74,69,12014,15.98,192,12014
1999,Newtown,2.04,17,8325,15.62,130,8325
1999,Norfolk,8.88,6,676,11.83,8,676
1999,North Branford,6.04,31,5132,13.06,67,5132
1999,North Canaan,8.94,12,1343,21.59,29,1343
1999,North Haven,6.51,56,8597,15.7,135,8597
1999,North Stonington,4.91,9,1833,14.18,26,1833
1999,Norwalk,22.26,728,32711,54.6,1786,32711
1999,Norwich,34.66,523,15091,99.99,1509,15091
1999,Old Lyme,2.7,8,2958,8.79,26,2958
1999,Old Saybrook,5.02,21,4184,10.52,44,4184
1999,Orange,3.17,15,4739,7.17,34,4739
1999,Oxford,3.59,12,3343,10.77,36,3343
1999,Plainfield,25.17,137,5444,58.96,321,5444
1999,Plainville,10.02,74,7385,29.79,220,7385
1999,Plymouth,10.78,48,4453,25.6,114,4453
1999,Pomfret,6.28,9,1433,15.35,22,1433
1999,Portland,11.22,38,3388,28.93,98,3388
1999,Preston,4.35,8,1837,14.15,26,1837
1999,Prospect,4.97,15,3020,8.94,27,3020
1999,Putnam,36.11,133,3683,87.16,321,3683
1999,Redding,0.69,2,2918,3.08,9,2918
1999,Ridgefield,0.71,6,8433,3.68,31,8433
1999,Rocky Hill,4.63,35,7557,12.84,97,7557
1999,Roxbury,1.18,1,848,3.54,3,848
1999,Salem,4.42,6,1358,11.05,15,1358
1999,Salisbury,4.03,7,1737,9.79,17,1737
1999,Scotland,5.42,3,553,10.85,6,553
1999,Seymour,13.16,81,6155,33.47,206,6155
1999,Sharon,1.61,2,1246,6.42,8,1246
1999,Shelton,7.26,103,14190,17.76,252,14190
1999,Sherman,2.09,3,1434,3.49,5,1434
1999,Simsbury,1.17,10,8527,4.57,39,8527
1999,Somers,4.79,14,2925,11.97,35,2925
1999,South Windsor,4.04,36,8905,8.98,80,8905
1999,Southbury,2.08,15,7225,4.57,33,7225
1999,Southington,6.3,95,15083,19.36,292,15083
1999,Sprague,15.3,17,1111,42.3,47,1111
1999,Stafford,15.62,68,4353,37.22,162,4353
1999,Stamford,17.29,785,45399,43.5,1975,45399
1999,Sterling,19.71,22,1116,31.36,35,1116
1999,Stonington,10.83,83,7665,28.83,221,7665
