Year,Town,"TANF cases, Rate (per 1000)","TANF cases, Number","Total estimated households, Number","Food stamps cases, Rate (per 1000)","Food stamps cases, Number","Total estimated households, Number"
2001,Bolton,3.67,7,1907,5.24,10,1907
2001,Bozrah,10.05,9,895,33.5,30,895
2001,Branford,5.65,71,12563,23.32,293,12563
2001,Bridgeport,52.86,2664,50402,154.93,7809,50402
2001,Bridgewater,0,0,706,2.83,2,706
2001,Bristol,17.65,440,24929,53.39,1331,24929
2001,Brookfield,1.95,11,5628,6.22,35,5628
2001,Brooklyn,6.21,16,2577,17.85,46,2577
2001,Burlington,1.73,5,2885,5.89,17,2885
2001,Canaan,4.36,2,459,17.44,8,459
2001,Canterbury,5.18,9,1739,24.16,42,1739
2001,Canton,1.68,6,3579,7.54,27,3579
2001,Chaplin,5.79,5,864,9.26,8,864
2001,Cheshire,1.06,10,9418,7.33,69,9418
2001,Chester,2.61,4,1530,12.42,19,1530
2001,Clinton,3.88,20,5151,20.58,106,5151
2001,Colchester,6.42,34,5294,21.16,112,5294
2001,Colebrook,0,0,568,1.76,1,568
2001,Columbia,2.64,5,1893,9.51,18,1893
2001,Connecticut,19.33,25296,1308612,59.49,77849,1308612
2001,Cornwall,1.62,1,616,11.36,7,616
2001,Coventry,4.41,19,4313,16.69,72,4313
2001,Cromwell,3.99,21,5266,14.62,77,5266
2001,Danbury,9.58,262,27355,40.61,1111,27355
2001,Darien,0.3,2,6603,3.18,21,6603
2001,Deep River,3.27,6,1836,17.43,32,1836
2001,Derby,16.33,86,5266,57.73,304,5266
2001,Durham,4.76,11,2310,5.19,12,2310
2001,East Granby,2.14,4,1869,10.7,20,1869
2001,East Haddam,4.35,14,3216,13.37,43,3216
2001,East Hampton,4.5,19,4219,15.41,65,4219
2001,East Hartford,29.45,595,20205,82.06,1658,20205
2001,East Haven,14.28,161,11273,50.83,573,11273
2001,East Lyme,3.91,25,6396,14.07,90,6396
2001,East Windsor,4.58,19,4145,23.16,96,4145
2001,Eastford,0,0,625,17.59,11,625
2001,Easton,0,0,2476,1.62,4,2476
2001,Ellington,4.15,22,5301,12.45,66,5301
2001,Enfield,8.81,145,16456,24.79,408,16456
2001,Essex,1.77,5,2822,10.63,30,2822
2001,Fairfield,2.3,47,20403,8.14,166,20403
2001,Farmington,2.29,22,9599,15.63,150,9599
2001,Franklin,4.34,3,691,11.57,8,691
2001,Glastonbury,1.86,23,12345,10.21,126,12345
2001,Goshen,2.78,3,1079,13.91,15,1079
2001,Granby,1.57,6,3822,7.59,29,3822
2001,Greenwich,1.77,41,23215,8.01,186,23215
2001,Griswold,9.2,39,4239,38.45,163,4239
2001,Groton,14.45,224,15507,37.79,586,15507
2001,Guilford,2.31,19,8207,8.89,73,8207
2001,Haddam,4.36,12,2753,9.08,25,2753
2001,Hamden,12.38,279,22540,34.16,770,22540
2001,Hampton,8.81,6,681,22.02,15,681
2001,Hartford,104.98,4724,45000,338.27,15222,45000
2001,Hartland,1.4,1,715,5.59,4,715
2001,Harwinton,2.02,4,1979,6.57,13,1979
2001,Hebron,1.32,4,3034,5.6,17,3034
2001,Kent,0.87,1,1153,10.4,12,1153
2001,Killingly,26.1,167,6398,89.4,572,6398
2001,Killingworth,2.25,5,2224,5.4,12,2224
2001,Lebanon,4.87,12,2466,24.33,60,2466
2001,Ledyard,4.13,22,5321,13.72,73,5321
2001,Lisbon,6.5,10,1538,19.5,30,1538
2001,Litchfield,2.11,7,3325,9.02,30,3325
2001,Lyme,0,0,872,4.59,4,872
2001,Madison,1.22,8,6561,6.4,42,6561
2001,Manchester,13.88,324,23346,43.43,1014,23346
2001,Mansfield,5.26,28,5321,22.37,119,5321
2001,Marlborough,1.48,3,2034,9.34,19,2034
2001,Meriden,34.79,802,23054,100.24,2311,23054
2001,Middlebury,2.88,7,2433,8.63,21,2433
2001,Middlefield,2.42,4,1655,10.88,18,1655
2001,Middletown,16.59,310,18685,55.66,1040,18685
2001,Milford,6.15,129,20981,24.4,512,20981
2001,Monroe,1.38,9,6506,5.69,37,6506
2001,Montville,8.8,57,6478,24.55,159,6478
2001,Morris,2.18,2,917,9.82,9,917
2001,Naugatuck,13.3,158,11880,40.4,480,11880
2001,New Britain,49.97,1425,28518,133.32,3802,28518
2001,New Canaan,0.73,5,6841,3.95,27,6841
2001,New Fairfield,2.58,12,4654,6.66,31,4654
2001,New Hartford,2.65,6,2268,8.38,19,2268
2001,New Haven,86.22,4076,47272,228.21,10788,47272
2001,New London,41.67,425,10200,132.35,1350,10200
2001,New Milford,4.66,47,10078,17.46,176,10078
2001,Newington,3.81,46,12068,16.16,195,12068
2001,Newtown,1.54,13,8438,17.06,144,8438
2001,Norfolk,2.94,2,680,11.76,8,680
2001,North Branford,4.45,23,5163,13.36,69,5163
2001,North Canaan,8.16,11,1349,25.95,35,1349
2001,North Haven,5.32,46,8651,15.03,130,8651
2001,North Stonington,5.39,10,1855,12.94,24,1855
2001,Norwalk,15.99,524,32762,46.76,1532,32762
2001,Norwich,25.46,388,15242,90.47,1379,15242
2001,Old Lyme,1.68,5,2979,7.38,22,2979
2001,Old Saybrook,2.86,12,4190,8.35,35,4190
2001,Orange,1.88,9,4777,7.12,34,4777
2001,Oxford,2.31,8,3459,9.83,34,3459
2001,Plainfield,19.19,105,5472,48.43,265,5472
2001,Plainville,7.29,54,7405,25.12,186,7405
2001,Plymouth,8.24,37,4488,26.74,120,4488
2001,Pomfret,2.07,3,1448,13.12,19,1448
2001,Portland,4.95,17,3431,21.27,73,3431
2001,Preston,3.8,7,1840,14.13,26,1840
2001,Prospect,2.62,8,3054,6.88,21,3054
2001,Putnam,22.64,84,3710,74.67,277,3710
2001,Redding,0.34,1,2973,2.02,6,2973
2001,Ridgefield,0.83,7,8470,3.78,32,8470
2001,Rocky Hill,3.28,25,7632,11.66,89,7632
2001,Roxbury,0,0,857,3.5,3,857
2001,Salem,2.18,3,1375,10.18,14,1375
2001,Salisbury,1.73,3,1733,8.08,14,1733
2001,Scotland,1.78,1,561,8.91,5,561
2001,Seymour,8.22,51,6205,28.53,177,6205
2001,Sharon,1.6,2,1246,6.42,8,1246
2001,Shelton,4.4,63,14304,16.99,243,14304
2001,Sherman,1.4,2,1429,4.9,7,1429
2001,Simsbury,0.94,8,8552,5.73,49,8552
2001,Somers,3.37,10,2965,9.11,27,2965
2001,South Windsor,3.22,29,9006,8.99,81,9006
2001,Southbury,1.91,14,7324,5.19,38,7324
2001,Southington,5.11,78,15256,19.07,291,15256
2001,Sprague,19.76,22,1113,42.21,47,1113
2001,Stafford,8.87,39,4394,29.81,131,4394
2001,Stamford,10.81,493,45595,37.5,1710,45595
2001,Sterling,7.88,9,1143,23.63,27,1143
2001,Stonington,7.52,58,7710,25.68,198,7710
2001,Stratford,9.59,191,19918,25.45,507,19918
2001,Suffield,2.34,11,4710,10.83,51,4710
2001,Thomaston,5.11,15,2935,18.4,54,2935
2001,Thompson,7.98,28,3507,29.94,105,3507
2001,Tolland,2.15,10,4659,5.15,24,4659
2001,Torrington,14.87,220,14793,48.74,721,14793
2001,Trumbull,1.58,19,11992,8.42,101,11992
2001,Union,0,0,290,6.9,2,290
2001,Vernon,14.42,178,12340,41.57,513,12340
2001,Voluntown,8.36,8,957,33.44,32,957
2001,Wallingford,6,101,16831,19.96,336,16831
2001,Warren,0,0,507,1.97,1,507
2001,Washington,4.21,6,1426,7.72,11,1426
2001,Waterbury,46.02,1962,42636,139.55,5950,42636
2001,Waterford,3.95,30,7588,14.23,108,7588
2001,Watertown,4.19,34,8109,17.02,138,8109
2001,West Hartford,6.49,160,24644,34.41,848,24644
2001,West Haven,28.4,599,21092,81.64,1722,21092
2001,Westbrook,3.79,10,2639,28.8,76,2639
2001,Weston,0.9,3,3319,1.21,4,3319
2001,Westport,0.94,9,9585,5.63,54,9585
2001,Wethersfield,4.01,45,11213,21.14,237,11213
2001,Willington,4.24,10,2360,10.59,25,2360
2001,Wilton,0.67,4,5948,1.51,9,5948
2001,Winchester,13.36,59,4415,49.37,218,4415
2001,Windham,45.13,379,8398,160.03,1344,8398
2001,Windsor,10.9,116,10643,31.76,338,10643
2001,Windsor Locks,7.66,38,4964,25.99,129,4964
2001,Wolcott,5.3,29,5473,12.06,66,5473
2001,Woodbridge,1.92,6,3126,8.32,26,3126
2001,Woodbury,0.53,2,3765,5.05,19,3765
2001,Woodstock,3.22,9,2794,10.74,30,2794
2002,Andover,3.42,4,1169,5.13,6,1169
2002,Ansonia,25.57,192,7508,84.05,631,7508
2002,Ashford,8.1,13,1606,23.04,37,1606
2002,Avon,0.47,3,6355,4.09,26,6355
2002,Barkhamsted,4.42,6,1358,9.58,13,1358
2002,Beacon Falls,3.34,7,2098,13.83,29,2098
2002,Berlin,3,21,6995,12.15,85,6995
2002,Bethany,2.22,4,1798,6.67,12,1798
2002,Bethel,3.03,20,6592,13.96,92,6592
2002,Bethlehem,1.56,2,1279,9.38,12,1279
2002,Bloomfield,16.81,135,8032,44.94,361,8032
2002,Bolton,3.14,6,1908,4.72,9,1908
2002,Bozrah,8.81,8,908,44.06,40,908
2002,Branford,5.4,68,12582,24.08,303,12582
2002,Bridgeport,48.87,2468,50497,162.53,8207,50497
2002,Bridgewater,0,0,709,4.23,3,709
2002,Bristol,17.02,425,24973,55.38,1383,24973
2002,Brookfield,2.11,12,5683,6.51,37,5683
2002,Brooklyn,3.81,10,2623,16.4,43,2623
2002,Burlington,2.05,6,2930,7.51,22,2930
2002,Canaan,6.35,3,473,48.67,23,473
2002,Canterbury,7.95,14,1760,24.43,43,1760
2002,Canton,1.65,6,3643,9.06,33,3643
2002,Chaplin,8.04,7,870,17.23,15,870
2002,Cheshire,1.05,10,9487,7.17,68,9487
2002,Chester,3.87,6,1551,12.9,20,1551
2002,Clinton,4.06,21,5168,20.9,108,5168
2002,Colchester,5.22,28,5363,22.19,119,5363
2002,Colebrook,0,0,571,,,571
2002,Columbia,2.08,4,1922,9.37,18,1922
2002,Connecticut,18.1,23813,1315553,61.49,80888,1315553
2002,Cornwall,3.24,2,618,11.33,7,618
2002,Coventry,4.81,21,4365,18.33,80,4365
2002,Cromwell,3.01,16,5320,15.41,82,5320
2002,Danbury,8.94,246,27528,40.72,1121,27528
2002,Darien,0.6,4,6613,3.48,23,6613
2002,Deep River,4.33,8,1847,18.95,35,1847
2002,Derby,16.29,86,5279,60.8,321,5279
2002,Durham,4.27,10,2344,5.55,13,2344
2002,East Granby,2.64,5,1891,11.64,22,1891
2002,East Haddam,3.99,13,3258,12.89,42,3258
2002,East Hampton,3.71,16,4313,15.3,66,4313
2002,East Hartford,27.22,550,20204,81.62,1649,20204
2002,East Haven,12.8,145,11326,49.44,560,11326
2002,East Lyme,3.7,24,6485,15.27,99,6485
2002,East Windsor,9.97,42,4212,30.39,128,4212
2002,Eastford,3.16,2,632,18.98,12,632
2002,Easton,0.4,1,2487,2.81,7,2487
2002,Ellington,2.96,16,5407,11.1,60,5407
2002,Enfield,8.19,135,16493,25.71,424,16493
2002,Essex,0.71,2,2832,8.83,25,2832
2002,Fairfield,1.96,40,20409,7.99,163,20409
2002,Farmington,1.96,19,9701,16.7,162,9701
2002,Franklin,1.44,1,695,10.07,7,695
2002,Glastonbury,2.01,25,12433,10.13,126,12433
2002,Goshen,3.67,4,1091,12.83,14,1091
2002,Granby,1.29,5,3864,6.73,26,3864
2002,Greenwich,1.68,39,23199,8.1,188,23199
2002,Griswold,9.8,42,4284,44.58,191,4284
2002,Groton,12.93,201,15540,37.71,586,15540
2002,Guilford,2.42,20,8264,9.2,76,8264
2002,Haddam,3.92,11,2804,10.34,29,2804
2002,Hamden,11.38,258,22672,36.26,822,22672
2002,Hampton,5.81,4,689,21.78,15,689
2002,Hartford,97.73,4399,45014,352.03,15846,45014
2002,Hartland,0,0,723,2.76,2,723
2002,Harwinton,2,4,2000,6,12,2000
2002,Hebron,1.95,6,3074,4.88,15,3074
2002,Kent,0.86,1,1164,12.89,15,1164
2002,Killingly,25.63,165,6437,92.12,593,6437
2002,Killingworth,2.66,6,2252,6.66,15,2252
2002,Lebanon,2.41,6,2486,39.83,99,2486
2002,Ledyard,3.92,21,5356,14.19,76,5356
2002,Lisbon,5.8,9,1552,17.4,27,1552
2002,Litchfield,2.1,7,3340,10.18,34,3340
2002,Lyme,0,0,890,5.62,5,890
2002,Madison,1.21,8,6606,7.27,48,6606
2002,Manchester,14.85,349,23495,44.73,1051,23495
2002,Mansfield,4.49,24,5350,22.43,120,5350
2002,Marlborough,1.94,4,2062,7.76,16,2062
2002,Meriden,35.58,824,23156,99.63,2307,23156
2002,Middlebury,2.84,7,2468,10.13,25,2468
2002,Middlefield,1.8,3,1664,10.81,18,1664
2002,Middletown,15.41,290,18816,57.45,1081,18816
2002,Milford,5.98,126,21062,24.5,516,21062
2002,Monroe,1.53,10,6532,5.97,39,6532
2002,Montville,7.81,51,6529,22.82,149,6529
2002,Morris,3.26,3,921,8.68,8,921
2002,Naugatuck,12.15,145,11931,39.64,473,11931
2002,New Britain,49.3,1404,28478,144.08,4103,28478
2002,New Canaan,0.87,6,6860,3.79,26,6860
2002,New Fairfield,3,14,4671,7.49,35,4671
2002,New Hartford,2.17,5,2309,6.5,15,2309
2002,New Haven,76.73,3641,47451,232.24,11020,47451
2002,New London,41.78,427,10219,136.99,1400,10219
2002,New Milford,4.24,43,10138,18.05,183,10138
2002,Newington,3.8,46,12121,18.07,219,12121
2002,Newtown,1.75,15,8552,11.23,96,8552
2002,Norfolk,4.38,3,685,11.68,8,685
2002,North Branford,4.62,24,5194,13.67,71,5194
2002,North Canaan,6.65,9,1354,19.2,26,1354
2002,North Haven,5.05,44,8705,15.28,133,8705
2002,North Stonington,5.86,11,1877,12.25,23,1877
2002,Norwalk,13.99,459,32812,46.45,1524,32812
2002,Norwich,21.89,337,15393,90.89,1399,15393
2002,Old Lyme,1.67,5,3001,7.33,22,3001
2002,Old Saybrook,2.86,12,4197,9.77,41,4197
2002,Orange,1.66,8,4816,7.68,37,4816
2002,Oxford,0.84,3,3575,7.83,28,3575
2002,Plainfield,16.73,92,5500,52.36,288,5500
2002,Plainville,6.6,49,7424,28.42,211,7424
2002,Plymouth,8.84,40,4523,30.95,140,4523
2002,Pomfret,1.37,2,1463,16.41,24,1463
2002,Portland,4.6,16,3475,22.74,79,3475
2002,Preston,4.34,8,1843,17.36,32,1843
2002,Prospect,1.3,4,3087,8.42,26,3087
2002,Putnam,19.27,72,3736,75.21,281,3736
2002,Redding,0.33,1,3028,3.3,10,3028
2002,Ridgefield,0.59,5,8507,4.35,37,8507
2002,Rocky Hill,2.34,18,7707,13.1,101,7707
2002,Roxbury,0,0,866,2.31,2,866
2002,Salem,3.59,5,1391,9.34,13,1391
2002,Salisbury,0.58,1,1728,6.94,12,1728
2002,Scotland,1.76,1,570,7.02,4,570
2002,Seymour,6.87,43,6255,29.26,183,6255
2002,Sharon,1.6,2,1247,4.81,6,1247
2002,Shelton,4.51,65,14417,17.55,253,14417
2002,Sherman,1.4,2,1425,2.81,4,1425
2002,Simsbury,1.17,10,8577,6.18,53,8577
2002,Somers,2,6,3006,8.32,25,3006
2002,South Windsor,2.74,25,9108,8.34,76,9108
2002,Southbury,1.48,11,7423,4.98,37,7423
2002,Southington,5.31,82,15429,19.38,299,15429
2002,Sprague,15.24,17,1116,41.23,46,1116
2002,Stafford,10.37,46,4436,29.98,133,4436
2002,Stamford,9.11,417,45791,37.32,1709,45791
2002,Sterling,9.41,11,1169,28.22,33,1169
2002,Stonington,6.83,53,7755,27.34,212,7755
2002,Stratford,8.93,178,19937,27.08,540,19937
2002,Suffield,2.1,10,4759,9.88,47,4759
2002,Thomaston,4.4,13,2954,18.28,54,2954
2002,Thompson,7.08,25,3532,28.6,101,3532
2002,Tolland,1.48,7,4731,5.92,28,4731
2002,Torrington,12.13,180,14843,52.21,775,14843
2002,Trumbull,2.07,25,12074,8.94,108,12074
2002,Union,0,0,295,6.78,2,295
2002,Vernon,13.94,173,12410,41.82,519,12410
2002,Voluntown,7.28,7,962,35.34,34,962
2002,Wallingford,6.01,102,16964,19.28,327,16964
2002,Warren,1.93,1,518,3.86,2,518
2002,Washington,2.79,4,1435,8.36,12,1435
2002,Waterbury,47.08,2008,42650,154.44,6587,42650
2002,Waterford,3.67,28,7635,15.32,117,7635
2002,Watertown,3.92,32,8171,17.13,140,8171
2002,West Hartford,6.35,157,24712,35.41,875,24712
2002,West Haven,25.84,545,21094,82.2,1734,21094
2002,Westbrook,3.74,10,2674,26.18,70,2674
2002,Weston,0.9,3,3325,1.5,5,3325
2002,Westport,1.36,13,9583,6.57,63,9583
2002,Wethersfield,3.48,39,11212,22.57,253,11212
2002,Willington,4.22,10,2367,10.98,26,2367
2002,Wilton,0.33,2,5973,2.01,12,5973
2002,Winchester,15.25,68,4460,54.04,241,4460
2002,Windham,42.34,358,8455,151.04,1277,8455
2002,Windsor,11.95,128,10708,33.15,355,10708
2002,Windsor Locks,6.41,32,4993,26.64,133,4993
2002,Wolcott,5.06,28,5533,12.65,70,5533
2002,Woodbridge,2.22,7,3150,8.26,26,3150
2002,Woodbury,0.26,1,3815,4.72,18,3815
2002,Woodstock,3.18,9,2833,10.59,30,2833
2003,Andover,4.24,5,1178,7.64,9,1178
2003,Ansonia,24.51,184,7508,88.04,661,7508
2003,Ashford,8.65,14,1619,26.55,43,1619
2003,Avon,0.62,4,6437,5.13,33,6437
2003,Barkhamsted,5.11,7,1369,9.49,13,1369
2003,Beacon Falls,3.76,8,2130,15.02,32,2130
2003,Berlin,2.54,18,7097,11.98,85,7097
2003,Bethany,2.2,4,1820,5.5,10,1820
2003,Bethel,2.11,14,6635,14.17,94,6635
2003,Bethlehem,1.54,2,1296,9.26,12,1296
2003,Bloomfield,15.93,129,8098,50.88,412,8098
2003,Bolton,3.14,6,1909,5.76,11,1909
2003,Bozrah,7.61,7,920,40.21,37,920
2003,Branford,5.71,72,12602,27.22,343,12602
2003,Bridgeport,46.02,2328,50591,175.41,8874,50591
2003,Bridgewater,0,0,713,2.81,2,713
2003,Bristol,15.99,400,25016,59.12,1479,25016
2003,Brookfield,2.09,12,5739,6.1,35,5739
2003,Brooklyn,3.37,9,2668,16.49,44,2668
2003,Burlington,2.69,8,2975,8.4,25,2975
2003,Canaan,,,,,,
2003,Canterbury,8.42,15,1782,23.57,42,1782
2003,Canton,1.62,6,3706,8.63,32,3706
2003,Chaplin,11.41,10,877,21.67,19,877
2003,Cheshire,0.94,9,9557,7.32,70,9557
2003,Chester,3.82,6,1571,11.46,18,1571
2003,Clinton,5.01,26,5185,21.79,113,5185
2003,Colchester,4.05,22,5432,23.56,128,5432
2003,Colebrook,0,0,573,1.75,1,573
2003,Columbia,2.56,5,1951,11.79,23,1951
2003,Connecticut,16.85,22289,1322495,65.22,86253,1322495
2003,Cornwall,1.62,1,619,12.93,8,619
2003,Coventry,4.3,19,4418,17.2,76,4418
2003,Cromwell,2.42,13,5374,16.93,91,5374
2003,Danbury,8.23,228,27700,43.03,1192,27700
2003,Darien,0.45,3,6624,2.72,18,6624
2003,Deep River,3.77,7,1859,18.83,35,1859
2003,Derby,14.93,79,5293,63.67,337,5293
2003,Durham,2.95,7,2377,6.73,16,2377
2003,East Granby,4.18,8,1912,14.12,27,1912
2003,East Haddam,3.64,12,3300,10.91,36,3300
2003,East Hampton,3.86,17,4406,14.3,63,4406
2003,East Hartford,24.45,494,20203,85.88,1735,20203
2003,East Haven,11.34,129,11380,51.32,584,11380
2003,East Lyme,3.5,23,6573,15.37,101,6573
2003,East Windsor,10.28,44,4280,33.88,145,4280
2003,Eastford,0,0,640,14.07,9,640
2003,Easton,0.4,1,2499,4,10,2499
2003,Ellington,2,11,5514,11.61,64,5514
2003,Enfield,8.41,139,16531,28.86,477,16531
2003,Essex,0.7,2,2843,9.85,28,2843
2003,Fairfield,1.62,33,20415,9.06,185,20415
2003,Farmington,2.14,21,9804,18.16,178,9804
2003,Franklin,1.43,1,700,11.44,8,700
2003,Glastonbury,1.84,23,12520,9.74,122,12520
2003,Goshen,2.72,3,1104,13.59,15,1104
2003,Granby,1.02,4,3905,7.43,29,3905
2003,Greenwich,1.68,39,23184,8.45,196,23184
2003,Griswold,10.39,45,4330,48.27,209,4330
2003,Groton,11.24,175,15574,38.33,597,15574
2003,Guilford,2.52,21,8320,9.98,83,8320
2003,Haddam,2.8,8,2856,11.55,33,2856
2003,Hamden,11.18,255,22804,39.16,893,22804
2003,Hampton,4.31,3,696,21.55,15,696
2003,Hartford,90.74,4086,45027,370.44,16680,45027
2003,Hartland,0,0,732,4.1,3,732
2003,Harwinton,2.47,5,2022,6.93,14,2022
2003,Hebron,1.61,5,3115,4.17,13,3115
2003,Kent,0.85,1,1174,13.63,16,1174
2003,Killingly,21.62,140,6476,93.11,603,6476
2003,Killingworth,2.19,5,2279,6.58,15,2279
2003,Lebanon,2.39,6,2505,38.32,96,2505
2003,Ledyard,4.08,22,5390,15.77,85,5390
2003,Lisbon,4.47,7,1565,22.36,35,1565
2003,Litchfield,1.49,5,3355,13.41,45,3355
2003,Lyme,0,0,908,5.51,5,908
2003,Madison,1.2,8,6652,7.67,51,6652
2003,Manchester,14.8,350,23645,47.83,1131,23645
2003,Mansfield,4.65,25,5380,21.56,116,5380
2003,Marlborough,1.91,4,2091,8.13,17,2091
2003,Meriden,34.14,794,23259,104,2419,23259
2003,Middlebury,2.4,6,2503,9.19,23,2503
2003,Middlefield,1.79,3,1674,11.35,19,1674
2003,Middletown,16.1,305,18947,61.86,1172,18947
2003,Milford,5.01,106,21142,25.45,538,21142
2003,Monroe,1.68,11,6557,5.95,39,6557
2003,Montville,7.14,47,6581,26.9,177,6581
2003,Morris,5.4,5,926,8.64,8,926
2003,Naugatuck,12.18,146,11982,43.82,525,11982
2003,New Britain,48.42,1377,28438,160.17,4555,28438
2003,New Canaan,0.73,5,6878,3.78,26,6878
2003,New Fairfield,2.99,14,4687,7.04,33,4687
2003,New Hartford,2.98,7,2349,8.51,20,2349
2003,New Haven,66.7,3177,47629,242.02,11527,47629
2003,New London,35.65,365,10239,142.4,1458,10239
2003,New Milford,3.73,38,10198,21.28,217,10198
2003,Newington,4.02,49,12175,20.04,244,12175
2003,Newtown,1.27,11,8665,6.69,58,8665
2003,Norfolk,4.35,3,689,10.16,7,689
2003,North Branford,4.4,23,5225,14.16,74,5225
2003,North Canaan,5.65,7.69,1360,24.31,33.07,1360
2003,North Haven,4.45,39,8758,15.41,135,8758
2003,North Stonington,5.27,10,1899,11.06,21,1899
2003,Norwalk,12.45,409,32863,44.97,1478,32863
2003,Norwich,20.78,323,15543,96.5,1500,15543
2003,Old Lyme,0.66,2,3022,7.94,24,3022
2003,Old Saybrook,2.62,11,4203,12.37,52,4203
2003,Orange,2.06,10,4854,8.24,40,4854
2003,Oxford,1.08,4,3691,8.67,32,3691
2003,Plainfield,13.02,72,5529,55.17,305,5529
2003,Plainville,7.52,56,7444,34.66,258,7444
2003,Plymouth,10.75,49,4558,33.35,152,4558
2003,Pomfret,2.71,4,1478,16.24,24,1478
2003,Portland,5.68,20,3518,24.44,86,3518
2003,Preston,4.33,8,1847,19.5,36,1847
2003,Prospect,2.56,8,3121,8.33,26,3121
2003,Putnam,15.41,58,3763,74.41,280,3763
2003,Redding,0.32,1,3084,2.92,9,3084
2003,Ridgefield,0.59,5,8543,4.56,39,8543
2003,Rocky Hill,1.54,12,7782,13.62,106,7782
2003,Roxbury,0,0,874,3.43,3,874
2003,Salem,3.55,5,1408,10.65,15,1408
2003,Salisbury,1.16,2,1724,6.96,12,1724
2003,Scotland,1.73,1,578,6.92,4,578
2003,Seymour,6.98,44,6305,30.61,193,6305
2003,Sharon,1.6,2,1247,6.41,8,1247
2003,Shelton,4.13,60,14531,19.48,283,14531
2003,Sherman,1.41,2,1420,4.22,6,1420
2003,Simsbury,1.05,9,8602,6.16,53,8602
2003,Somers,2.63,8,3046,11.49,35,3046
2003,South Windsor,2.06,19,9209,8.47,78,9209
2003,Southbury,1.46,11,7521,5.85,44,7521
2003,Southington,5.32,83,15602,19.48,304,15602
2003,Sprague,16.1,18,1118,51.87,58,1118
2003,Stafford,9.16,41,4477,29.26,131,4477
2003,Stamford,8.15,375,45986,38.6,1775,45986
2003,Sterling,12.54,15,1196,39.29,47,1196
2003,Stonington,6.67,52,7800,26.79,209,7800
2003,Stratford,8.92,178,19957,29.21,583,19957
2003,Suffield,2.7,13,4809,10.4,50,4809
2003,Thomaston,5.38,16,2974,20.51,61,2974
2003,Thompson,7.03,25,3556,32.05,114,3556
2003,Tolland,1.87,9,4804,6.25,30,4804
2003,Torrington,12.69,189,14893,59.16,881,14893
2003,Trumbull,1.89,23,12155,9.87,120,12155
2003,Union,0,0,300,3.34,1,300
2003,Vernon,13.22,165,12481,41.98,524,12481
2003,Voluntown,6.2,6,967,35.16,34,967
2003,Wallingford,5.67,97,17098,19.01,325,17098
2003,Warren,1.89,1,528,3.79,2,528
2003,Washington,0.69,1,1445,7.61,11,1445
2003,Waterbury,46.25,1973,42664,175.98,7508,42664
2003,Waterford,2.86,22,7681,16.14,124,7681
2003,Watertown,4.01,33,8234,18.95,156,8234
2003,West Hartford,5.93,147,24781,37.09,919,24781
2003,West Haven,23.23,490,21097,85.75,1809,21097
2003,Westbrook,3.32,9,2708,25.85,70,2708
2003,Weston,1.5,5,3332,0.9,3,3332
2003,Westport,1.46,14,9582,6.37,61,9582
2003,Wethersfield,4.19,47,11211,25.6,287,11211
2003,Willington,3.79,9,2374,10.11,24,2374
2003,Wilton,0.17,1,5998,2.17,13,5998
2003,Winchester,16.21,73,4504,63.94,288,4504
2003,Windham,38.42,327,8511,151.56,1290,8511
2003,Windsor,11.23,121,10774,35.27,380,10774
2003,Windsor Locks,6.17,31,5021,28.28,142,5021
2003,Wolcott,5.01,28,5592,13.77,77,5592
2003,Woodbridge,2.21,7,3173,9.46,30,3173
2003,Woodbury,0.52,2,3865,5.18,20,3865
2003,Woodstock,3.48,10,2873,11.49,33,2873
2004,Andover,4.21,5,1188,7.58,9,1188
2004,Ansonia,25.84,194,7508,92.3,693,7508
2004,Ashford,7.35,12,1633,29.39,48,1633
2004,Avon,0.92,6,6519,5.68,37,6519
2004,Barkhamsted,4.34,6,1381,11.58,16,1381
2004,Beacon Falls,3.7,8,2163,18.49,40,2163
2004,Berlin,2.64,19,7198,13.2,95,7198
2004,Bethany,1.63,3,1841,7.06,13,1841
2004,Bethel,1.8,12,6678,16.62,111,6678
2004,Bethlehem,1.52,2,1312,13.72,18,1312
2004,Bloomfield,15.56,127,8163,56.23,459,8163
2004,Bolton,3.14,6,1910,6.28,12,1910
2004,Bozrah,7.51,7,933,46.11,43,933
2004,Branford,6.5,82,12621,29.08,367,12621
2004,Bridgeport,46.62,2363,50686,190.05,9633,50686
2004,Bridgewater,1.4,1,716,2.79,2,716
2004,Bristol,17.04,427,25060,64.25,1610,25060
2004,Brookfield,1.9,11,5795,7.42,43,5795
2004,Brooklyn,5.16,14,2714,22.11,60,2714
2004,Burlington,3.64,11,3020,10.26,31,3020
2004,Canaan,4,2,500,35.99,18,500
2004,Canterbury,7.21,13,1804,27.16,49,1804
2004,Canton,2.12,8,3770,11.14,42,3770
2004,Chaplin,11.33,10,883,27.19,24,883
2004,Cheshire,0.83,8,9626,8.31,80,9626
2004,Chester,2.51,4,1592,11.31,18,1592
2004,Clinton,4.81,25,5202,23.65,123,5202
2004,Colchester,4.18,23,5501,25.27,139,5501
2004,Colebrook,1.74,1,575,5.22,3,575
2004,Columbia,2.53,5,1980,14.14,28,1980
2004,Connecticut,17.04,22650,1329437,70.52,93755,1329437
2004,Cornwall,0,0,620,11.29,7,620
2004,Coventry,4.25,19,4470,19.91,89,4470
